OBJECTID,zones455,rank,Age_adjusted_LCM,Female_Rate,Male_Rate,less_than_49,F49_74,beyond_74,smokrate,GDP,Health_Care_Quality,Health_care_Access,Public_Health,wind,NO2,Temp,SO2,PM25,ozone,co
1, ,1,-1.49400426,-0.332058981,-0.385945398,-0.230500175,-0.53987183,-0.28360276,-0.508565481,2.137690803,-0.500659845,-0.640573599,-0.484838374,0.293926024,1.202675293,-0.001164418,0.929128872,-0.575305287,-0.234060579,-0.354017615
2,0,1,-1.642525083,-0.347695409,-0.406458086,-0.242921109,-0.52478961,-0.248015158,-0.414986207,0.159578148,0.326071184,1.314085134,-0.07348132,-0.002030062,1.556416585,0.853882491,-0.063188247,-0.230073581,2.438139182,1.365036525
3,1,1,-0.97098356,-0.200694806,-0.239889008,-0.242921109,-0.38894803,-0.168451097,-0.611502673,0.28357924,-1.417991535,-0.763379382,-0.528139116,0.515139199,-0.228202093,-1.587300958,-0.402019199,0.052425578,-0.748822639,0.771233757
4,2,5,0.988922811,-0.124501311,-0.140228599,-0.242921109,0.053426122,-0.030868207,1.451920215,1.358255369,1.3566537,0.955901596,1.593597269,-0.963404714,-0.690530773,0.429329066,1.530494658,0.479616749,-0.05760367,-0.232351302
5,3,5,2.433483243,0.16587488,0.045541862,-0.242921109,0.320069834,-0.070540612,0.731359842,1.027585791,1.673756013,1.600631964,1.214715771,-0.726259221,-0.939588699,0.633013574,0.36308617,0.881455783,0.656789481,0.486423134
6,4,4,0.282560616,-0.1062626,-0.486521497,-0.242921109,-0.311154933,-0.048189999,0.469337888,2.350264103,0.326071184,0.311171229,0.532729076,0.312254081,-1.118006107,-1.050350963,-0.045614621,-2.084560149,-0.303218747,0.514534633
7,5,3,-0.204928786,-0.155626439,-0.278023707,-0.242921109,-0.283304756,-0.130951123,-1.430321279,-0.543094705,-0.78378691,-1.12156292,-1.43745471,0.337866728,1.577009864,-0.529931365,0.327373363,0.096224679,-1.553439974,-0.816060821
8,6,2,-0.314365182,-0.29475201,-0.220065018,-0.242921109,-0.253885396,-0.162921751,0.469337888,-0.295092521,-1.259440379,-0.83501609,0.608505376,0.580528437,0.631702689,-0.763790275,-0.352484202,0.139154154,-0.716567124,0.079562136
9,7,1,-1.388831619,-0.314217999,-0.510225974,-0.242921109,-0.521131946,-0.325089704,-0.120211509,1.606257552,0.405346762,1.170811719,0.229623878,-0.183118339,0.330509545,0.691307331,-0.002158668,-0.462348242,2.220752903,1.161013741
10,8,2,-0.326801136,-0.173848105,-0.14514136,-0.242921109,-0.256222237,-0.148159357,1.058887284,-0.873764283,-0.308133441,-0.190285723,1.063163172,0.421103594,0.716139143,-0.464010295,-0.29634709,0.61169642,0.358497212,-0.396043821
11,9,2,-0.456135059,-0.198615252,-0.344083857,-0.242921109,-0.349357203,-0.176428467,0.092681329,0.28357924,-0.268495652,-0.673833498,-0.225033919,0.269156856,-0.096531405,-0.063490328,-0.40796789,0.021863722,0.736570529,-0.677553729
12,10,4,0.416868921,-0.113217174,-0.09084157,-0.242921109,-0.154484988,-0.088240635,0.272821422,-0.956431678,-1.338715957,-1.479746457,-0.225033919,-0.283834027,-1.247040878,-0.741311904,-0.620192013,-0.420500141,-1.030618535,-0.762789412
13,11,3,-0.158501223,-0.311990717,-0.261507318,-0.242921109,-0.162646998,-0.173738771,0.622184039,0.256023442,0.748874268,0.908143791,0.987386873,-0.991805526,0.724249593,1.06624878,-0.174787766,1.41715946,0.433442275,0.927284984
14,12,3,-0.234775076,-0.557968999,-0.242893953,-0.242921109,-0.325548519,-0.318913957,-1.102793836,0.200911846,-0.149582285,-0.405195845,-1.51323101,-0.157499768,-0.120410443,-1.687461494,-0.545167163,-0.786107992,-1.086638455,0.128775933
15,13,3,0.080269096,-0.139785465,-0.156009965,-0.242921109,-0.115255411,-0.1676067,-0.218469741,-0.6257621,-0.466684597,-0.333559138,0.153847579,-0.830304798,-0.151371381,0.529778733,-0.489771024,-0.129923568,1.119799204,-0.634405448
16,14,3,-0.248040093,-0.289979263,-0.252038498,-0.242921109,-0.250747031,-0.183740511,-0.120211509,-0.791096889,0.96027581,1.099175011,0.078071279,0.711082968,0.719816409,0.676290934,-0.659560319,1.283170679,1.257513175,1.385767984
17,15,1,-0.841649637,-0.149899143,-0.336090487,-0.242921109,-1.069747693,-0.125116046,0.731359842,1.027585791,1.673756013,1.600631964,1.214715771,-0.41537287,-0.356942582,0.282366934,-0.053456299,0.545528421,-0.108392519,0.003161548
