OBJECTID,zones905,FREQUENCY,Age_adjusted_LCM,Female_Rate,Male_Rate,less_than_49,F49_74,beyond_74,smokrate,GDP,Health_Care_Quality,Health_care_Access,Public_Health,wind,NO2,Temp,SO2,PM25,ozone,co,rank
582,612,1,26,0,0,24.43,21.36,0,0.174,33,47,25,37,94.67582512,14.98720551,55.39813805,2.255418181,31.53870535,35.4414053,0.240515471,1
211,218,1,24.7,20.98,26.71,0,53.31,0,0.171,31,37,7,22,97.02384949,14.78505349,49.9357214,2.024849534,33.04805088,36.40746975,0.24201658,1
261,271,1,26,42.83,43.49,0,87.94,0,0.145,20,25,21,8,92.80654812,14.5997777,36.60493898,1.452689812,29.80758834,34.51255989,0.249216968,1
541,570,1,19.9,27.05,34.25,0,91.2,0,0.156,18,5,46,27,94.10496762,19.15273369,59.98986776,4.952409111,23.74144712,45.91278106,0.245377488,1
197,204,1,34.9,41.17,37.82,0,91.93,0,0.141,3,26,5,10,101.5089209,21.48895582,52.05893053,0.480827429,27.6683366,35.40617643,0.276028603,2
65,68,1,36.5,0,60.6,0,91.96,0,0.172,10,21,22,30,86.78635684,15.60162298,61.660751,2.152179751,26.83383317,39.55004813,0.253524425,2
383,404,1,34.6,42.55,0,0,92.73,0,0.211,7,23,24,42,98.70093918,15.98969746,55.02120399,4.609516859,29.72247982,39.89768982,0.217725188,2
220,228,2,47.85,62.76,76.27,0,95.77,0,0.171,31,37,7,22,97.08062808,14.3557388,50.82617124,2.063275318,31.37162383,36.06070296,0.242074682,4
503,531,1,38.8,0,57.75,0,98.35,0,0.211,7,23,24,42,98.0751915,17.95785761,51.87609959,1.34169215,33.95837402,37.55899906,0.247128826,3
218,226,1,32,45.49,34.8,0,102.99,0,0.231,26,42,29,45,80.80237155,8.776228269,69.634719,4.283069505,34.19723256,35.56141891,0.275587237,1
98,102,1,25.2,0,35.4,0,106.11,0,0.157,2,30,47,23,83.58583679,9.016626358,67.8698822,3.747666693,34.94617538,35.8027153,0.2592583,1
75,78,1,35.7,34.1,36.74,0,107.3,0,0.183,44,40,26,24,101.6123486,9.200143961,38.86601472,2.282553807,20.0827688,33.23612428,0.257712288,2
314,326,1,42.4,0,87.31,0,117.07,0,0.209,27,35,38,47,86.17163595,17.23114173,62.17066765,6.150479237,31.13154411,39.17208417,0.246387665,3
225,233,1,34.6,57.34,42.7,0,117.76,0,0.141,3,26,5,10,92.27654394,12.20132807,48.66833369,1.537462036,26.61141586,35.01934751,0.202616711,2
221,229,2,32.8,78.205,27.545,0,121.97,0,0.157,2,30,47,23,84.88608281,11.22403955,67.68898583,3.670243865,35.25513482,37.07996901,0.249312327,1
408,430,1,43,0,55.52,0,122.72,0,0.157,2,30,47,23,87.77816486,10.67542589,66.70356274,3.678106904,34.57738543,37.54238456,0.249101754,3
356,374,1,41.9,0,65.13,0,124.67,0,0.157,2,30,47,23,80.72633431,10.12159712,70.83836573,3.714018085,35.37672563,33.87399986,0.252198959,3
493,520,1,39.3,0,61.58,0,125.58,0,0.172,10,21,22,30,87.14642715,15.48329735,60.64121819,1.593494117,27.67203426,39.90085793,0.244136088,3
698,732,1,46.8,0,85.49,0,126.92,0,0.16,21,9,16,21,97.00382614,14.21509385,47.13024759,1.921506494,30.61492658,35.84262323,0.266410042,4
434,457,1,40.4,0,79.65,0,130.69,0,0.157,2,30,47,23,82.74236298,8.708905697,67.98155866,3.780715397,34.49127851,34.398789,0.257852703,3
577,607,1,32.2,0,56.86,0,131.39,0,0.175,8,39,42,29,93.19226074,17.22308985,64.93041738,2.59976395,35.85993067,40.56625748,0.270252183,1
785,824,1,49.1,0,69.48,0,132.1,0,0.145,20,25,21,8,92.79670525,14.51083422,38.67022324,1.433484197,26.309021,34.10914154,0.252245605,4
122,127,1,34.1,26.28,60.67,0,132.91,0,0.209,27,35,38,47,88.28874016,17.23056602,61.47583008,6.036197066,30.51144075,40.06500053,0.259724002,2
820,860,1,41,65.57,0,0,133.44,0,0.138,17,1,9,10,96.18365152,16.37829526,58.04242379,0.606614087,27.32620566,40.08995656,0.268097056,3
348,365,1,55.9,86.05,0,0,134.75,0,0.218,19,41,39,41,96.94610341,17.26716487,52.23809942,2.102937579,34.06848653,35.57688268,0.253980776,5
741,778,1,40.2,43.66,54.41,0,135.62,0,0.193,14,11,15,36,98.38051224,15.81883955,40.91402817,1.70653984,29.55374336,35.63477898,0.238216262,3
