OBJECTID,zones455,FREQUENCY,Age_adjusted_LCM,Female_Rate,Male_Rate,less_than_49,F49_74,beyond_74,smokrate,GDP,Health_Care_Quality,Health_care_Access,Public_Health,wind,NO2,Temp,SO2,PM25,ozone,co
1,,7,27.14285714,33.13333333,34.73285714,0.251428571,78.22833333,157.3842857,0.163142857,43.42857143,20.57142857,17.71428571,21.57142857,96.72271509,17.89632302,55.82024952,5.867675519,27.59005638,36.82295406,0.241816401
2,0,2,25.65,30.84,31.57,0,80.455,198.125,0.166,19.5,31,45,27,94.13913545,18.82197207,64.3002123,2.887740601,29.11595397,45.19714971,0.278868573
3,1,3,32.4,52.4,57.25333333,0,100.51,289.21,0.16,21,9,16,21,98.65381865,14.15208868,40.08967534,1.870228994,30.36457853,35.20978192,0.266069859
4,2,2,52.1,63.575,72.62,0,165.82,446.715,0.223,34,44,40,49,85.74671479,12.94229465,60.0896863,7.673580981,32.25273066,37.37593842,0.244438774
5,3,5,66.62,106.1633333,101.264,0,205.186,401.298,0.201,30,48,49,44,87.8169012,12.29057477,62.10973576,4.167845516,34.02882829,39.61471866,0.259931104
6,4,2,45,66.25,19.225,0,111.995,426.885,0.193,46,31,31,35,96.88271178,11.82370277,45.41489894,2.940514318,20.91926594,36.60622474,0.260537014
7,5,3,40.1,59.01,51.37333333,0,116.1066667,332.14,0.135,11,17,11,9,97.10630006,18.87585933,50.57618164,4.060599717,30.55816719,32.68825524,0.231857608
8,6,2,39,38.605,60.31,0,120.45,295.54,0.193,14,11,15,36,99.22464085,16.40223607,48.25687631,2.018982922,30.74791217,35.31086493,0.251161698
9,7,2,28.2,35.75,15.57,0,80.995,109.89,0.175,37,32,43,31,92.55830638,15.61409187,62.68786648,3.071012834,28.08931783,44.51590003,0.274471104
10,8,4,38.875,56.3375,71.8625,0,120.105,312.44,0.211,7,23,24,42,97.832925,16.62318433,51.22995655,2.187563042,32.83651265,38.67992409,0.240910576
11,9,4,37.575,52.705,41.1875,0,106.355,280.0775,0.1815,21,23.5,17.25,25,96.50649004,14.49663666,55.20212975,1.852365038,30.22949748,39.86473818,0.234842964
12,10,2,46.35,65.23,80.235,0,135.125,381.035,0.187,6,10,6,25,91.67909824,11.4860523,48.47980648,1.215054583,28.27428322,34.32668403,0.23300581
13,11,3,40.56666667,36.07666667,53.92,0,133.92,283.1566667,0.197666667,20.66666667,36.33333333,39.33333333,41,85.49878693,16.64440727,66.40636368,2.552606503,36.39659735,38.9147885,0.269433358
14,12,2,39.8,,56.79,0,109.87,116.96,0.145,20,25,21,8,92.78194638,14.43415142,39.09632912,1.440354705,26.65832463,34.15112763,0.252222443
15,13,3,42.96666667,61.33333333,70.18666667,0,140.9166667,290.1766667,0.172,10,21,22,30,86.90862444,14.35313469,61.08589999,1.606709682,29.55860933,41.06570824,0.235772974
16,14,6,39.66666667,39.305,55.38,0,120.9133333,271.7066667,0.175,8,39,42,29,100.3643303,16.63280678,62.53894075,1.096831297,35.80437724,41.49727917,0.279315415
17,15,1,33.7,59.85,42.42,0,,338.82,0.201,30,48,49,44,90.53081614,13.81520827,58.63218333,2.916965707,32.54405518,37.21677526,0.249514974
18,16,2,40.45,59.97,53.645,0,121.405,308.55,0.193,14,11,15,36,98.67274539,16.31207419,46.54247061,1.739991059,30.49080356,35.816981,0.249686097
19,17,2,44.1,68.905,68.29,0,154.6,186.035,0.2155,28,41,36.5,44.5,87.05341721,12.89916456,58.30735461,7.045648973,30.83228453,38.14965725,0.233901241
